Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,-1,0,0,-2,5,-16,4,45,-1,6,0,0,1,0,0,0,0,0,0
-1,1,1,0,-2,-16,-18,1,-15,-5,0,0,0,1,0,0,0,0,0,1
1,0,0,0,2,22,0,8,56,3,-4,0,0,1,0,0,0,0,0,0
-1,0,1,0,0,-34,-11,-6,-16,4,2,0,0,1,0,0,0,0,0,0
1,0,1,0,2,27,3,6,23,5,1,0,0,1,0,0,0,0,0,0
1,1,0,0,0,-32,-2,1,12,-1,-3,0,0,1,0,1,0,0,0,0
-1,0,0,0,2,5,20,0,-8,10,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,20,-6,2,5,-2,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,-1,-24,-6,-5,-29,1,2,0,0,1,0,0,0,0,0,0
1,1,0,0,0,-35,8,3,16,15,0,0,0,1,0,0,0,0,0,1
1,0,1,0,6,52,31,14,49,2,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,26,-4,9,42,-14,2,0,0,1,0,0,0,0,0,0
1,0,1,0,0,31,4,8,25,24,1,0,0,1,0,0,0,0,0,0
1,-1,0,0,-3,-32,-2,-5,3,68,-1,0,0,1,0,0,0,0,0,0
-1,1,0,0,3,-6,16,6,41,-5,2,0,0,1,0,1,0,0,0,0
-1,-1,0,0,2,3,-29,2,-4,2,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-14,3,1,13,-4,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,-9,-12,-1,19,2,-1,0,0,1,0,0,0,0,0,0
1,-1,1,0,0,6,15,0,15,1,2,0,0,1,0,0,0,0,0,0
1,0,-1,1,2,11,28,2,15,6,0,0,1,1,0,0,0,0,0,0
1,1,0,0,4,2,13,7,53,0,1,0,0,1,0,1,0,0,0,0
1,0,0,0,-1,-24,5,0,-10,8,-4,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,6,0,-3,-9,0,-2,0,0,1,0,0,0,0,0,0
1,1,1,0,1,7,8,0,10,-2,3,0,0,1,1,0,0,0,0,0
1,0,0,0,0,45,-24,0,30,5,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,1,1,0,1,0,5,1,0,0,1,0,0,0,0,0,0
1,-1,1,0,-2,-34,-23,0,19,7,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,23,0,4,26,1,5,0,0,1,0,0,0,0,0,0
-1,1,1,0,1,13,-8,2,11,2,-1,0,0,1,0,0,0,1,0,0
1,1,0,0,2,36,-2,4,14,8,-4,0,0,1,0,0,0,0,1,0
1,0,0,0,2,27,8,1,5,13,-3,0,0,1,0,0,0,0,0,0
1,1,-1,0,2,53,16,2,18,4,2,0,0,1,0,0,0,1,0,0
1,1,1,0,2,-2,14,3,-38,-3,-1,0,0,1,0,0,0,0,0,1
-1,0,1,0,0,-62,-4,-1,5,-3,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-2,21,8,-2,-3,3,-1,0,0,1,0,0,0,0,0,0
1,1,0,0,1,-9,16,3,8,-1,2,0,0,1,1,0,0,0,0,0
1,0,-1,0,3,74,36,1,-24,62,3,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,12,-12,12,36,-4,1,0,0,1,0,0,0,0,0,0
1,1,0,0,0,3,-4,-3,9,75,1,0,0,1,0,1,0,0,0,0
-1,1,0,0,0,16,17,-1,-5,7,1,0,0,1,0,0,1,0,0,0
-1,1,0,0,-3,-33,-6,-3,6,7,-2,0,0,1,0,0,1,0,0,0
1,1,0,0,3,49,16,-1,-3,1,-1,0,0,1,0,0,0,0,1,0
-1,0,1,0,-1,-14,0,-7,-41,-1,1,0,0,1,0,0,0,0,0,0
-1,1,0,0,0,-4,-2,2,-9,5,1,0,0,1,0,0,1,0,0,0
-1,-1,1,1,1,6,20,4,25,-3,-2,0,1,1,0,0,0,0,0,0
-1,0,-1,0,-1,-23,-2,-2,-2,-1,1,0,0,1,0,0,0,0,0,0
1,0,0,0,4,9,12,6,7,-7,5,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,-5,-12,2,27,4,0,0,0,1,0,0,0,0,0,0
-1,1,0,0,-1,-39,8,0,5,-73,-2,0,0,1,0,0,0,0,0,1
-1,-1,-1,0,0,-17,-19,0,18,-17,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,0,-8,20,-4,2,-11,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,2,33,8,5,16,3,1,0,0,1,0,0,0,0,0,0
1,1,1,0,4,-12,16,8,13,10,-1,0,0,1,0,0,1,0,0,0
1,0,0,1,-2,34,-20,2,0,-1,-1,0,1,1,0,0,0,0,0,0
1,-1,0,0,1,-37,18,5,2,0,5,0,0,1,0,0,0,0,0,0
