CHALLENGER,10,2023-11-23 17:37:38,"ExtraTree{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 10, 'verbose': 0, 'warm_start': False}",81.69,74.81,75.32,74.8,1438,510,486,1520,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:38:25,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:38:25,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:38:29,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:38:30,"ExtraTreesClassifier(max_depth=10, random_state=10)",81.69,74.81,75.32,74.8,1438,510,486,1520,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:38:41,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:38:41,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:38:45,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:38:45,"ExtraTreesClassifier(max_depth=10, random_state=10)",81.69,74.81,75.32,74.8,1438,510,486,1520,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:39:09,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:39:09,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:39:13,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:39:13,"ExtraTreesClassifier(max_depth=8, random_state=10)",77.39,73.52,73.77,73.52,1435,513,534,1472,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:39:23,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
